"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Kweichow Moutai","600519.SS","280894579789","223.607","China"
"2","Anheuser-Busch Inbev","BUD","122962083840","62.385","Belgium"
"3","Wuliangye Yibin","000858.SZ","76300658163","19.657","China"
"4","Diageo","DEO","75705294848","136.215","United Kingdom"
"5","Heineken","HEIA.AS","57972657634","102.889","Netherlands"
"6","Constellation Brands","STZ","45981868032","251.3","United States"
"7","Pernod Ricard","RI.PA","37837421790","149.951","France"
"8","Ambev","ABEV","34807943168","2.21","Brazil"
"9","Luzhou Laojiao","000568.SZ","33781042187","22.9492","China"
"10","Brown Forman","BF-A","20856934400","44.12","United States"
"11","Carlsberg","CARL-B.CO","19517455796","141.604","Denmark"
"12","YANGHE","002304.SZ","18977293151","12.5974","China"
"13","Asahi Group","2502.T","18963144744","37.4264","Japan"
"14","Budweiser APAC","1876.HK","16419001597","1.23979","Hong Kong"
"15","China Resources Beer","0291.HK","13004601044","4.00882","Hong Kong"
"16","Davide Campari-Milano","CPR.MI","12757915866","10.6159","Italy"
"17","Tsingtao","600600.SS","12435077466","10.9788","China"
"18","Kirin Holdings","2503.T","11527801436","14.2341","Japan"
"19","Suntory","2587.T","11145779604","36.0705","Japan"
"20","Molson Coors","TAP","11132431360","52.46","United States"
"21","United Spirits","UNITDSPR.BO","11127482819","15.687","India"
"22","Thai Beverage","TBVPF","10334720000","0.4","Thailand"
"23","Becle","CUERVO.MX","6997459800","1.94851","Mexico"
"24","United Breweries","UBL.NS","6567554175","24.839","India"
"25","Treasury Wine Estates","TWE.AX","6529318067","8.04672","Australia"
"26","Endeavour Group","EDV.AX","6113252488","3.41336","Australia"
"27","Emperador Brandy","EMI.SI","5032721543","0.319812","Philippines"
"28","Rémy Cointreau","RCO.PA","4653910319","91.3551","France"
"29","Royal Unibrew","RBREW.CO","4269885426","85.3073","Denmark"
"30","Efes Beverage Group","AEFES.IS","3765359155","6.35928","Turkey"
"31","Boston Beer Company","SAM","3484800768","291.52","United States"
"32","Sapporo","2501.T","2774791258","35.6206","Japan"
"33","Radico Khaitan","RADICO.NS","2755253016","20.6054","India"
"34","Compañía Cervecerías Unidas","CCU","2296988160","12.4","Chile"
"35","MGP Ingredients","MGPI","1622498048","73.7","United States"
"36","Fever-Tree Drinks","FEVR.L","1612986548","13.8185","United Kingdom"
"37","HiteJinro","000080.KS","1009505650","14.7052","South Korea"
"38","Viña Concha y Toro","CONCHATORO.SN","976772729","1.32173","Chile"
"39","Oeneo","SBT.PA","754600188","11.6647","France"
"40","Olvi plc","OLVAS.HE","722105309","34.885","Finland"
"41","Anora Group","ANORA.HE","329556708","4.87845","Finland"
"42","Hawesko","HAW.DE","303592508","33.7948","Germany"
"43","Delegat","DGL.NZ","288191044","2.84971","New Zealand"
"44","Corby Spirit and Wine","CSW-A.TO","283102846","10.0557","Canada"
"45","Ottakringer Getränke","OTS.VI","218873514","97.76","Austria"
"46","Andrew Peller","ADW-A.TO","128468572","2.83021","Canada"
"47","Naked Wines","WINE.L","60561211","0.818349","United Kingdom"
"48","Vintage Wine Estates","VWE","11520949","0.1922","United States"
"49","Fresh Vine Wine","VINE","7697333","0.4818","United States"
"50","Eastside Distilling","EAST","1690672","0.99","United States"
