"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Kweichow Moutai","600519.SS","280704631618","223.455","China"
"2","Anheuser-Busch Inbev","BUD","122991656960","62.4","Belgium"
"3","Wuliangye Yibin","000858.SZ","76249061687","19.6437","China"
"4","Diageo","DEO","75588583424","136.005","United Kingdom"
"5","Heineken","HEIA.AS","57563169211","102.162","Netherlands"
"6","Constellation Brands","STZ","46000164864","251.4","United States"
"7","Pernod Ricard","RI.PA","37495169245","148.595","France"
"8","Ambev","ABEV","34492940288","2.19","Brazil"
"9","Luzhou Laojiao","000568.SZ","33758198574","22.9337","China"
"10","Brown Forman","BF-A","20717479936","43.825","United States"
"11","Carlsberg","CARL-B.CO","19358141860","140.448","Denmark"
"12","YANGHE","002304.SZ","18964460216","12.5888","China"
"13","Asahi Group","2502.T","18849522985","37.2022","Japan"
"14","Budweiser APAC","1876.HK","16413409788","1.23937","Hong Kong"
"15","China Resources Beer","0291.HK","13000172075","4.00745","Hong Kong"
"16","Davide Campari-Milano","CPR.MI","12672501483","10.5449","Italy"
"17","Tsingtao","600600.SS","12426668545","10.9714","China"
"18","Kirin Holdings","2503.T","11458730135","14.1488","Japan"
"19","United Spirits","UNITDSPR.BO","11116949709","15.6722","India"
"20","Molson Coors","TAP","11100600320","52.31","United States"
"21","Suntory","2587.T","11078997269","35.8544","Japan"
"22","Thai Beverage","TBVPF","10334720000","0.4","Thailand"
"23","Becle","CUERVO.MX","6836449218","1.90368","Mexico"
"24","United Breweries","UBL.NS","6561337426","24.8155","India"
"25","Treasury Wine Estates","TWE.AX","6453978127","7.95387","Australia"
"26","Endeavour Group","EDV.AX","6042713410","3.37397","Australia"
"27","Emperador Brandy","EMI.SI","5008768088","0.31829","Philippines"
"28","Rémy Cointreau","RCO.PA","4609661924","90.4865","France"
"29","Royal Unibrew","RBREW.CO","4235031895","84.6109","Denmark"
"30","Efes Beverage Group","AEFES.IS","3759135365","6.34876","Turkey"
"31","Boston Beer Company","SAM","3464574976","289.828","United States"
"32","Sapporo","2501.T","2758165500","35.4072","Japan"
"33","Radico Khaitan","RADICO.NS","2752644935","20.5859","India"
"34","Compañía Cervecerías Unidas","CCU","2278464256","12.3","Chile"
"35","MGP Ingredients","MGPI","1614517760","73.3375","United States"
"36","Fever-Tree Drinks","FEVR.L","1598511673","13.6944","United Kingdom"
"37","HiteJinro","000080.KS","1002712614","14.6063","South Korea"
"38","Viña Concha y Toro","CONCHATORO.SN","980308581","1.32652","Chile"
"39","Oeneo","SBT.PA","744821829","11.5135","France"
"40","Olvi plc","OLVAS.HE","716094270","34.5946","Finland"
"41","Anora Group","ANORA.HE","326813371","4.83784","Finland"
"42","Hawesko","HAW.DE","299122923","33.2973","Germany"
"43","Delegat","DGL.NZ","284368228","2.81191","New Zealand"
"44","Corby Spirit and Wine","CSW-A.TO","281482774","9.99811","Canada"
"45","Ottakringer Getränke","OTS.VI","218873514","97.76","Austria"
"46","Andrew Peller","ADW-A.TO","127073292","2.79947","Canada"
"47","Naked Wines","WINE.L","57359487","0.775085","United Kingdom"
"48","Vintage Wine Estates","VWE","11868615","0.198","United States"
"49","Fresh Vine Wine","VINE","7369821","0.4613","United States"
"50","Eastside Distilling","EAST","1690501","0.9899","United States"
